entity_id,name,url_key,is_active,parent_id,path,level,description
23,Kilt Ties,kilt-ties,1,48,1/3/48/23,3,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;If you are going for formal look with your kilt outfit, then having a matching tie is the best accessory you can go for. We have a range of both long ties and bow ties in a variety of color schemes in the traditional checkered patter to match your kilt. These are high quality hand crafted ties and are bound to look great with the overall kilt outfit. &lt;/p&gt;</div>"
24,Kilt Buckle,kilt-buckle,1,48,1/3/48/24,3,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;These traditional style belts with classic buckles designs can come in handy for a variety of different kilts. Whether you are wearing a modern kilt or utility kilt which has belt loops and space for a belt or you are wearing a traditional style tartan kilt which is generally worn without a belt you can still use one to fasten the kilt. There are multiple designs to choose from depending on which one suits your style. &lt;/p&gt;</div>"
25,Fly Plaid,fly-plaid,1,48,1/3/48/25,3,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;What was known in the past as the great kilt, was a much larger version of the modern kilt. Constructed with 9 yards of fabric it was wrapped around the body and portion of the fabric was brought up to the shoulder and tied on to the front of the shoulder. Over time this shoulder piece separated from the kilt and developed in to what we call the fly plaid today. If you want a great kilt look then the addition of a fly plaid to your outfit is what you need. &lt;/p&gt;</div>"
26,Brooches,fly-plaid-brooches,1,48,1/3/48/26,3,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;style type=""text/css""&gt;&lt;!--td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}--&gt;&lt;/style&gt;
&lt;p&gt;&lt;span data-sheets-value=""{&amp;quot;1&amp;quot;:2,&amp;quot;2&amp;quot;:&amp;quot;Fly plaid brooch is a badge, used to hold the fly plaid. Brooch settled on the top of front left shoulder of Kilt. Get kilt brooch from The Utility Kilt online store&amp;quot;}"" data-sheets-userformat=""{&amp;quot;2&amp;quot;:513,&amp;quot;3&amp;quot;:{&amp;quot;1&amp;quot;:0},&amp;quot;12&amp;quot;:0}""&gt;Fly plaid brooch is a badge, used to hold the fly plaid. Brooch settled on the top of front left shoulder of Kilt. Get kilt brooch from The Utility Kilt online store&lt;/span&gt;&lt;/p&gt;</div>"
27,Kilt Shoes,shoes,1,48,1/3/48/27,3,"<style>#html-body [data-pb-style=OQIX7GJ]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""OQIX7GJ""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p dir=""ltr"" style=""line-height: 1.38; margin-top: 12pt; margin-bottom: 12pt;""><span style=""font-size: 11pt; font-family: 'Noto Sans Nandinagari', sans-serif; color: #000000; background-color: transparent; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant-position: normal; font-variant-emoji: normal; vertical-align: baseline; white-space-collapse: preserve;"">Regular shoes work well with most outfits, but kilts require something different to a</span><span style=""font-size: 11pt; font-family: 'Noto Sans Nandinagari', sans-serif; color: #000000; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant-position: normal; font-variant-emoji: normal; vertical-align: baseline; white-space-collapse: preserve;"">chieve their proper appearance.</span><span style=""font-size: 11pt; font-family: 'Noto Sans Nandinagari', sans-serif; color: #000000; background-color: transparent; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant-position: normal; font-variant-emoji: normal; vertical-align: baseline; white-space-collapse: preserve;""> </span><span style=""font-size: 11pt; font-family: 'Noto Sans Nandinagari', sans-serif; color: #000000; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant-position: normal; font-variant-emoji: normal; vertical-align: baseline; white-space-collapse: preserve;"">Kilt needs shoes that match its dimensions and exterior form while allowing comfortable movement. The Utility Kilt™ ghillie brogue shoes deliver essential comfort and stability. These shoes are designed to complete the entire outfit.</span></p>
<p><span id=""docs-internal-guid-2a341d2a-7fff-3c25-4671-8fce7f5f65d2""></span></p></div></div></div>"
28,Kilt Shirt,kilt-shirts,1,48,1/3/48/28,3,"<style>#html-body [data-pb-style=GPL79KE]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""GPL79KE""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>A regular shirt when tucked into a kilt often bunches or loses shape. Jacobite shirts fall at the right length and keep a clean line that sits properly on the waist. However, its design allows them to maintain their original shape during the entire day. The Utility Kilt™ manufacturer kilt shirts to complement both traditional and modern utility kilts with the same focus on fitting and durability.</p></div></div></div>"
29,Flashes,kilt-flashes,1,48,1/3/48/29,3,"<style>#html-body [data-pb-style=GY1C7J3]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""GY1C7J3""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>Kilt flashes are one of those decorative details, used mainly for formal Highland dress to enhance balance, coordination, and overall presentation. Made from acrylic wool and finished in traditional clan tartans, they add a subtle visual lift that suits ceremonial and formal attire. We use elastic that is firm enough to hold the kilt hose securely in place, yet soft enough to sit comfortably without digging into the leg, even during long periods of wear.</p></div></div></div>"
30,Kilt Socks,kilt-socks,1,48,1/3/48/30,3,"<style>#html-body [data-pb-style=KS2X0MJ]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""KS2X0MJ""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>“The Utility Kilt™” is a trusted name in Highlandwear, and our kilt socks are given the same care as every other part of our outfit. We knit every pair to stay steady on your leg, soft against the skin and even in color so that it goes seamlessly with your kilt and flashes.&nbsp;</p></div></div></div>"
31,Leather Belts,leather-belts,0,48,1/3/48/31,3,Leather Belts
32,Mens Utility Kilts,mens-utility-kilt,1,10,1/3/9/10/32,4,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;We are one of the leading online utility kilt stores for men. We have perfected the art of the modern work kilt. We craft every utility kilt with pockets from breathable, heavy-duty 100% cotton in a versatile range of plain colors like black, blue, and red. Every men's utility kilt we sell is hand-made and tailored to your exact measurements, ensuring it fits flawlessly.&lt;/p&gt;
</div>"
33,Hybrid Kilt Mens,hybrid-kilt,1,10,1/3/9/10/33,4,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;Have a hard time choosing between Utility Kilts and Tartan Kilts? Well, you can choose both with our high-quality&lt;strong&gt; hybrid kilt&lt;/strong&gt;. We have designed several designs and patterns for you to wear at any time. Whether you are at work or home even at a wedding or party. Our kilts are made with cotton and tartan. We use quality fabric and acrylic wool for the design and pattern of our state-of-the-art kilts. Available in so many varieties of colors and patterns that you will love. Choose one now&lt;/p&gt;</div>"
34,Modern Kilt Mens,modern-kilt-mens,0,10,1/3/9/10/34,4,"<p>The utility kilt gave a high value to your fashion. That's why we manufacture our <strong>modern kilts for men</strong> keeping in view the trends and fashion statements according to the recent times. You can choose what kind of kilt you want and we will get it for you according to the newest and modern standards. We also, keep in mind the work nature of yours, whether its long sitting job or a rough job, we tailor our modern utility kilts to make your job more comfortable. Give a buzz today and we will get you a modern utility kilt tailored made for you.</p>"
35,Traditional Kilt Mens,traditional-kilt-mens,0,10,1/3/9/10/35,4,"<p>The kilt is&nbsp;the symbol of Scottish culture and tradition. The Utility Kilt gives high value to traditions and culture, that's why we tailor <strong>traditional kilts </strong>keeping in mind the traditional <strong>Scottish kilts</strong> and cultural fashion. We don't just manufacture the traditional kilts but also we try to make our kilts comfortable keeping in mind the nature of your job and classy nature. <br>Our traditional kilts for men are just perfect for you to keep you easy and comfortable in every moment whether you are on job, at a party, or even on a playing field. So Just let us know your requirement and we will get a perfect traditional kilt for you.</p>"
36,Leather Kilt Mens,leather-kilt-mens,1,10,1/3/9/10/36,4,"<style>#html-body [data-pb-style=R27BF0O]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""R27BF0O""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>A leather kilt gives you a sense of power the moment you wear it and grows richer with time. It is because the strength of the material lifts your confidence and sharpens your presence. While its structure stays true to classic Scottish design. At The Utility Kilt™, we shape this form with purpose. We focus on comfort, movement, and style that feels natural. So, the kilt gives you a look that stands apart from everyday outfits and speaks to men who enjoy bold clothing with real character.</p>
<p>&nbsp;</p></div></div></div>"
37,Womens Utility Kilt,women-utility-kilt,1,11,1/3/9/11/37,4,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;Our utility kilts for women are hand crafted to the highest standards to ensure that the kilt which reaches you is of exceptional quality. Our women's utility kilts come in a variety of styles and patterns to express yourself with the personality and class of this traditional dress. &lt;br /&gt;Modern and trendy utility kilts for women are out now. Get yours now.&lt;/p&gt;</div>"
38,Womens Tartan Kilt,women-tartan-kilt,1,11,1/3/9/11/38,4,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;Women Tartan Kilts are made in Traditional style with premium quality fabric. Tartan Fabric is special in Scottish culture and heritage. In the past days, tartan kilts were worn by men only but nowadays women also wear the traditional tartan skirt &amp;amp; kilt.&lt;/p&gt;
&lt;p&gt;&lt;br&gt;That's why we have designed the special women tartan kilts to be a part of this traditional fabric. Made with high-quality acrylic wool, our women's tartan kilts are of high standards and style to keep you elegant and stylish at the same time. Women Tartan Skirt is comfortable to wear and stylish to match modern standards.&lt;/p&gt;</div>"
39,Utility Kilts Kids,baby-utility-kilt,1,12,1/3/9/12/39,4,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;Kids utility kilt can be a great option for your kid to wear utility kilts while playing with other kids or on other special places. The utility kilts for babies or kids are made with care and measures so that your kid feel comfortable while playing or studying or even attending any special functions.&lt;br /&gt;Plenty of choices available for you while looking for a perfect baby kilt. With a lot of options of pockets and styling. We are sure that our custom made kilts for kids are just made for your little champions.&lt;br /&gt;Have a look on these beautiful baby utility kilts.&lt;/p&gt;</div>"
40,Tartan Kilt Kids,baby-tartan-kilt,1,12,1/3/9/12/40,4,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;With our customized tartan baby kilt, your kid can match the dressing with mom and dad with all the comfort and style. Our tartan kilts for babies are just perfect for your young ones as our tartan kilts are perfect for the adults. Made with high quality acrylic yarn, we made our tartan baby kilts comfortable and perfect fit for your little champions.&lt;/p&gt;</div>"
41,Hybrid Kilt for Women,hybrid-kilt-for-women,1,11,1/3/9/11/41,4,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;Kilts, no doubt are becoming the most favorite dress among the women and this trend is going to become more popular. Choosing a kilt can be tricky whether to go for utility kilt or tartan kilt. But with The Utility Kilt shop you don't have to choose in between. In fact you can keep both. We have designed high quality hybrid kilts for women to keep you trendy and classy at the same time. We have combined both utility kilts and traditional tartan kilts together to make a masterpiece hybrid kilt for women. &lt;br /&gt;With the hybrid kilt and skirts for women, You can enjoy every moment of life whether on job or a party.&lt;/p&gt;</div>"
42,Cargo Kilt Mens,cargo-kilt,0,10,1/3/9/10/42,4,"<p>Feeling confused about which kilt to wear on the job and playing field? Here is the solution for you. Our specially designed cargo kilt is made to keep you stand tall whether you are on job or a playing field with the comfort and ease of regular kilt. <br>Focused on durability as well as class and beauty, we have designed our kilt who want to do something different. Made with the highest standard of fabric and the top-notch design patterns make our kilts stand out among others.<br>Your satisfaction is what we care for. We keep in mind your comfort and class of yours. That’s why we make kilts which are perfect for you.</p>"
43,Denim Kilt Mens,denim-kilt-mens,1,10,1/3/9/10/43,4,"<style>#html-body [data-pb-style=R6WCB5Q]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""R6WCB5Q""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>Some people do not feel comfortable wearing tartan patterns and heavy wool kilts. Some people prefer to wear simple modern clothing that requires no special effort to put on. If utility styles feel too bold or traditional fabrics are not your choice, a denim kilt offers a smart alternative.The fabric maintains its shape after continuous use while providing users with long-lasting comfort.&nbsp;</p></div></div></div>"
44,Denim Kilt for Women,women-denim-kilt,1,11,1/3/9/11/44,4,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;High quality denim kilts for women are made for those who want to be trendy and stylish and keep the traditional look as well. Customized denim kilt can be used as casual or a party dress. You can choose the color and style depending upon your preferences.&amp;nbsp;&lt;/p&gt;</div>"
